ID,Address,URL
100636,"3108 S Calle Madrid, Green Valley AZ 85622",https://www.zillow.com/homedetails/3108-S-Calle-Madrid-Green-Valley-AZ-85622/8656861_zpid/
100773,"12286 W Exposition Dr, Lakewood CO 80228",https://www.zillow.com/homedetails/12286-W-Exposition-Dr-Lakewood-CO-80228/13776759_zpid/
101322,"3755 Tutt Blvd, Unit 332, Colorado Springs CO 80922",https://www.zillow.com/homedetails/3755-Tutt-Blvd-Q1EAF25BX-Colorado-Springs-CO-80922/2080244104_zpid/
100071,"206 N 4th St, Victor CO 80860",https://www.zillow.com/homedetails/206-N-4th-St-Victor-CO-80860/62718822_zpid/
100067,"Po Box 668, Florissant CO 80816",
100694,"13281 Antelope Pasture Pt, Kiowa CO 80117",https://www.zillow.com/homedetails/13281-Antelope-Pasture-Point-Kiowa-CO-80117/338231757_zpid/
101482,"1376 N Platteville Blvd, Pueblo CO 81007",https://www.zillow.com/homedetails/1376-N-Platteville-Blvd-Pueblo-West-CO-81007/109697298_zpid/
100769,"69 N Ponderosa Way, Evergreen CO 80439",https://www.zillow.com/homedetails/69-Ponderosa-Way-Evergreen-CO-80439/13268863_zpid/
100790,"16504 W 62nd Ln, Arvada CO 80403",https://www.zillow.com/homedetails/16504-W-62nd-Ln-Arvada-CO-80403/13707622_zpid/
101247,"30580 Aldred Rd, Pueblo CO 81006",https://www.zillow.com/homedetails/30580-Aldred-Rd-Pueblo-CO-81006/14049457_zpid/
101093,"159 El Lobo Ln, Fairplay CO 80440",https://www.zillow.com/homedetails/159-El-Lobo-Ln-Fairplay-CO-80440/225396168_zpid/
100378,"10769 Roseanna Dr, Northglenn CO 80234",https://www.zillow.com/homedetails/10769-Roseanna-Dr-Northglenn-CO-80234/12967951_zpid/
100991,"1433 Terra Rosa Ave, Longmont CO 80501",https://www.zillow.com/homedetails/1433-Terra-Rosa-Ave-Longmont-CO-80501/109687029_zpid/
